Se encontraron 2105 gramas de tamaño 2
[260] OPER,OPER
[18] PRE,PAID
[18] GEORGE,SHULTZ
[18] PERSONAL,COMPUTER
[18] BOND,ISSUES
[18] FUTURES,COMMISSION
[18] PAYABLE,SHAREHOLDERS
[18] SECURITY,PACIFIC
[18] INDUSTRIAL,NATIONS
[18] NATIONAL,AMUSEMENTS
[18] DECLARED,SPLIT
[18] INSURANCE,COMPANIES
[18] ROYAL,DUTCH
[18] MINISTRY,OFFICIALS
[18] RICHARD,LYNG
[18] CUBIC,FEET
[18] WHITE,SUGAR
[17] COMMISSION,REPORT
[17] ESTIMATED,TONNES
[17] CRUDE,BARREL
[17] ATLANTIC,CITY
[17] ALLIS,CHALMERS
[17] CHAIRMAN,PAUL
[17] BOND,COUPON
[17] AIRLINES,LOAD
[17] VEGETABLE,OILS
[17] INSTITUTIONAL,INVESTORS
[17] SPEAKER,JIM
[17] INT,L
[17] JIM,WRIGHT
[17] FEES,COMPRISE
[17] BOEING,BA
[17] FEDERAL,FUNDS
[17] TOWER,COMMISSION
[17] PAN,AM
[17] COMPANY,OUTSTANDING
[17] BANKING,SYSTEM
[17] PAST,FEW
[17] BOUGHT,TONNES
[17] HOME,SHOPPING
[17] MARKET,GIVEN
[17] BARRELS,CRUDE
[17] BAKER,HUGHES
[17] SUBORDINATED,NOTES
[17] RESEARCH,INSTITUTE
[17] TAFT,BROADCASTING
[17] FUTURES,CONTRACT
[17] INCOME,FUND
[17] SENIOR,VICE
[17] PRODUCING,COUNTRIES
[17] FINANCE,MINISTERS
[17] ECONOMISTS,SAY
[17] TEXAS,INTERMEDIATE
[17] LEAD,UNDERWRITER
[17] EXPORT,QUOTA
[17] TELEPHONE,TELEGRAPH
[17] REPURCHASE,AGREEMENTS
[17] YEN,EUROBOND
[17] SENATE,AGRICULTURE
[16] HARRIS,UPHAM
[16] DEAN,WITTER
[16] CERTIFICATES,DEPOSIT
[16] NORTH,SEA
[16] FILES,OFFERING
[16] CAR,OFF
[16] LUXEMBOURG,FEES
[16] UNDERWRITERS,LED
[16] REVISED,DECEMBER
[16] JOINT,VENTURES
[16] FUTURES,MARKET
[16] RAISED,STAKE
[16] LATIN,AMERICA
[16] ECONOMIC,COOPERATION
[16] AMERICAN,TELEPHONE
[16] CAPITAL,EXPENDITURES
[16] BARNEY,HARRIS
[16] IC,GAS
[16] CALL,MONEY
[16] AS,GOVERNMENT
[16] SENIOR,OFFICIAL
[16] TOTALLED,TONNES
[16] FEE,BASIS
[16] ENHANCEMENT,PROGRAM
[16] REGULAR,DIVIDEND
[16] EC,FARM
[16] LUCKY,STORES
[16] K,GOVERNMENT
[16] DEPARTMENT,STORES
[16] INCLUDES,EXTRAORDINARY
[16] ANALYSTS,SAY
[16] REPRESENTATIVE,CLAYTON
[16] DE,JANEIRO
[16] RESTRUCTURING,PLAN
[16] DEPARTMENT,JUSTICE
[16] SANTOS,ALVITE
[16] RIO,DE
[16] COMPANY,OFFICIALS
[16] ICO,TALKS
[16] OUNCE,GOLD
[16] OFFERED,LIBOR
[16] TELEPHONE,INTERVIEW
[16] ORANGE,JUICE
[16] CAPITAL,GAINS
[16] SPECIAL,COMMITTEE
[16] CLAYTON,YEUTTER
[16] INCLUDES,PRETAX
[16] EVEN,THOUGH
[16] TREASURY,BILL
[15] COMMODITY,CORPORATION
[15] MARKET,VALUE
[15] SECURITY,COUNCIL
[15] ARMS,CONTROL
[15] AVAILABLE,COMMENT
[15] PRODUCERS,CONSUMERS
[15] COUNTER,PROPOSAL
[15] QUOTED,AS
[15] SUSPENDED,PAYMENTS
[15] BAN,DUAL
[15] PAR,VALUE
[15] COMPRISE,SELLING
[15] AS,WAY
[15] REGULATORY,APPROVAL
[15] CHICAGO,MERCANTILE
[15] PUROLATOR,COURIER
[15] OFFICIALS,SAY
[15] CHASE,MANHATTAN
[15] MEANS,COMMITTEE
[15] PARIS,CLUB
[15] SOVIET,GRAIN
[15] DEBTOR,NATIONS
[15] COFFEE,EXPORT
[15] AROUND,TONNES
[15] JAN,OPER
[15] GRAMM,RUDMAN
[15] IMPORTS,FELL
[15] FINANCIAL,FUTURES
[15] GOVERNMENT,MARKET
[15] COMMERCE,SECRETARY
[15] FUND,DEBENTURES
[15] BROKERAGE,FIRM
[15] INCLUDES,CHARGE
[15] CHINA,DAILY
[15] ISSUING,YEN
[15] COCA,COLA
[15] UNION,PACIFIC
[15] RATED,MOODY
[15] SEEKING,CONTROL
[15] AS,MANY
[15] TREASURY,BONDS
[15] FINAL,DECISION
[15] NATIONAL,ASSOCIATION
[15] WRITE,OFF
[15] PROPOSED,OFFERING
[15] SOUTH,KOREAN
[15] MEMBER,COUNTRIES
[15] CONTINUE,AS
[15] BRITISH,COLUMBIA
[15] FELL,BARRELS
[15] RESERVE,CHAIRMAN
[15] NOVEMBER,DECEMBER
[15] DEMOCRATIC,PARTY
[15] CALLABLE,BOND
[15] FUND,IMF
[15] GOVERNMENT,BONDS
[15] OPPOSITION,PARTIES
[14] OPEC,MEMBERS
[14] CHAIRMAN,WILLIAM
[14] JAPANESE,FIRMS
[14] ACCORDING,COMPANY
[14] STG,EUROBOND
[14] RE,GOING
[14] DEPOSIT,INSURANCE
[14] ENGLAND,PROVIDED
[14] MARKET,ANALYSTS
[14] HOUSE,WAYS
[14] CONSUMER,SPENDING
[14] SOFT,WHEAT
[14] SAN,FRANCISCO
[14] PRUDENTIAL,BACHE
[14] PROPOSED,ACQUISITION
[14] RESERVES,FELL
[14] DEFICIT,REDUCTION
[14] OPERATING,EARNINGS
[14] MEMBER,STATES
[14] UNITED,ARAB
[14] UNITED,NATIONS
[14] EXCHANGEABLE,PREFERRED
[14] PAYOUT,MTHLY
[14] WELL,BELOW
[14] TONS,DECEMBER
[14] FACE,VALUE
[14] MORGAN,GUARANTY
[14] STAKE,COMPANY
[14] GAS,RESERVES
[14] ARAB,EMIRATES
[14] USE,PROCEEDS
[14] NIL,NIL
[14] EUROPEAN,CURRENCY
[14] AS,CHIEF
[14] INFORMATION,SYSTEMS
[14] CAPITAL,MARKET
[14] MTHLY,PRIOR
[14] SELL,STAKE
[14] PRODUCT,LINE
[14] UNITS,UNITS
[14] BARRELS,BPD
[14] HOLDINGS,PLC
[14] BEAR,STEARNS
[14] LUXEMBOURG,PAYMENT
[14] SELL,OFF
[14] LOAN,LOSSES
[14] OPERATING,RESULTS
[14] LOAN,INSURANCE
[14] PRESIDENT,COMPANY
[14] MILES,AVAILABLE
[14] SUPREME,COURT
[14] CANADIAN,BOND
[14] INDEX,FUTURES
[14] STATISTICS,CANADA
[14] INTERNATIONAL,MACHINES
[14] HOUSE,AGRICULTURE
[14] PERSONAL,COMPUTERS
[14] DENOMINATIONS,LISTED
[14] ISSUING,STG
[13] TONNES,COMPARED
[13] TONNES,BARLEY
[13] WORTH,STG
[13] WESTMINSTER,PLC
[13] UNION,CARBIDE
[13] HOLIDAY,INNS
[13] ECONOMIC,SPOTLIGHT
[13] SHELF,OFFERING
[13] SOCIETE,GENERALE
[13] SHAREHOLDERS,RECEIVE
[13] WHEAT,EXPORTS
[13] AGRICULTURAL,PRODUCTS
[13] MIDDLE,EAST
[13] REDEEM,OUTSTANDING
[13] CONTRA,REBELS
[13] GROWTH,FORECAST
[13] HOUSE,SUBCOMMITTEE
[13] UNION,LEADERS
[13] DE,CROO
[13] COOPERATION,DEVELOPMENT
[13] POINTS,COMPARABLE
[13] BORG,WARNER
[13] SUISSE,BOSTON
[13] ECUS,TONNE
[13] CURRENCY,UNITS
[13] MONEY,MARKETS
[13] ANALYSTS,NOTED
[13] DURABLE,GOODS
[13] COMPANY,RECEIVED
[13] AGO,AGO
[13] EXPECTS,EARNINGS
[13] DU,PONT
[13] AROUND,LEVELS
[13] POWER,PLANT
[13] CHRYSLER,AMC
[13] USED,REPAY
[13] IOWA,BEEF
[13] EXPORTS,IMPORTS
[13] CONVERTIBLE,BOND
[13] MARKET,STG
[13] HARD,CURRENCY
[13] UNSECURED,CREDITORS
[13] OFFICIAL,FIGURES
[13] PROCEEDS,OFFERING
[13] RECENTLY,FILED
[13] ADMINISTRATION,OFFICIALS
[13] UNITED,KINGDOM
[13] MARKET,MAKERS
[13] PIZZA,INN
[13] DENOMINATIONS,YEN
[13] USED,REDUCE
[13] NON,FARM
[13] MANAGER,SWISS
[13] ENERGY,MINES
[13] EXPORT,IMPORT
[13] FEDERAL,HOME
[13] SHELF,REGISTRATION
[13] VERSUS,AGO
[13] SPECIAL,PROSECUTOR
[13] TONNES,SUGAR
[13] FEDERAL,COURT
[13] REPUBLICAN,LEADER
[13] RAISES,QUARTERLY
[13] UNDISCLOSED,AMOUNT
[13] ADJUSTED,SPLIT
[13] FELL,UNITS
[13] SPLIT,PAYABLE
[13] CROP,TONNES
[13] MANUFACTURERS,HANOVER
[13] TOOK,PLACE
[13] AS,COMPANY
[13] ENDED,SEPTEMBER
[13] DECLINED,SAY
[13] DON,KNOW
[13] ASSEMBLY,PLANT
[13] WORKING,HOURS
[13] REDEEM,PREFERRED
[13] EXPECTS,REPORT
[13] CAR,FELL
[13] IMPORTS,TONNES
[13] CORN,GROWERS
[13] CABLE,TELEVISION
[13] CUMULATIVE,CONVERTIBLE
[13] EFFECTIVE,IMMEDIATELY
[13] JAPANESE,GOVERNMENT
[13] COFFEE,EXPORTS
[13] YEN,BOND
[12] CERTAIN,CIRCUMSTANCES
[12] ASKED,IDENTIFIED
[12] WHEAT,TONNES
[12] CARRYING,COUPON
[12] DECEMBER,NOVEMBER
[12] POST,SPLIT
[12] RHONE,POULENC
[12] LENDING,AGENCIES
[12] NIAGARA,MOHAWK
[12] OUTPUT,CEILING
[12] MARTIN,SOSNOFF
[12] BRAZIL,SEAMEN
[12] SHAREHOLDERS,APPROVED
[12] ECONOMIC,PLANNING
[12] AA,MINUS
[12] EARLY,AS
[12] IG,METALL
[12] ROYAL,TRUST
[12] STG,ASSISTANCE
[12] ALEX,BROWN
[12] BRAZIL,SUSPENDED
[12] SUGAR,PRODUCTION
[12] NATIONAL,PORK
[12] ROCHESTER,GAS
[12] STEERING,COMMITTEE
[12] FEDERAL,DEPOSIT
[12] YEN,YEN
[12] SPIN,OFF
[12] RESORTS,INTERNATIONAL
[12] OPEC,PRODUCTION
[12] EL,PASO
[12] ZERO,COUPON
[12] HOUSE,BUDGET
[12] ORGANISATION,ECONOMIC
[12] ECONOMIC,AFFAIRS
[12] LEIGH,PEMBERTON
[12] PROVED,RESERVES
[12] SPLIT,BASIS
[12] ELECTRIC,POWER
[12] DONALDSON,LUFKIN
[12] COMPANY,EARNINGS
[12] DOW,CHEMICAL
[12] CHIEF,FINANCIAL
[12] ALLIED,LYONS
[12] ACCOUNT,SURPLUS
[12] BROWN,FORMAN
[12] SAY,HOW
[12] DECEMBER,COMPARED
[12] EXPORTING,COUNTRIES
[12] HOME,LOAN
[12] NATURAL,RUBBER
[12] JOHNSON,JOHNSON
[12] BBB,MINUS
[12] AUSTRALIAN,WHEAT
[12] MARKET,MAKING
[12] ORE,OXIDE
[12] CONTINENTAL,AIRLINES
[12] HARPER,ROW
[12] PRIOR,INCLUDES
[12] MANUFACTURING,SECTOR
[12] DOMESTIC,MARKET
[12] EXCLUDES,GAIN
[12] EFFECTIVE,TOMORROW
[12] SENIOR,NOTES
[12] EXPORTS,FELL
[12] FINAL,DIVIDEND
[12] SOUTHERN,PACIFIC
[12] RESERVE,REQUIREMENT
[12] INCLUDES,CREDITS
[12] PRICING,LEAD
[12] GROWTH,HORMONE
[12] EXPORT,TONNES
[12] PRESS,REPORTS
[12] FUTURES,CONTRACTS
[12] SEAMEN,STRIKE
[12] TREASURY,DEPARTMENT
[12] GETS,CONTRACT
[12] YEN,LISTED
[12] NON,PERFORMING
[12] HK,HOTELS
[12] DEPARTMENT,DEPARTMENT
[12] SUSPENSION,PAYMENTS
[12] COMPANY,OWNED
[12] BARREL,EFFECTIVE
[12] DONALD,REGAN
[12] PRINCIPAL,PAYMENTS
[12] MOODY,MOODY
[12] CERTAIN,CONDITIONS
[12] BRAZILIAN,COFFEE
[12] ENDED,JAN
[12] OUTBOARD,MARINE
[12] INCLUDES,WRITEDOWN
[12] DECLINED,GIVE
[12] REV,REV
[12] FUTURES,MARKETS
[12] FINANCIAL,OFFICER
[12] SPENDING,CUTS
[12] M,M
[12] BEST,INTERESTS
[12] WHEAT,EXPORT
[12] CD,ROM
[12] MANAGED,DEAL
[12] CARGO,SECTOR
[12] SENATE,REPUBLICAN
[12] DOMESTIC,CONSUMPTION
[12] DOW,JONES
[12] REGULAR,PAYOUT
[12] INTERNATIONAL,INDUSTRY
[12] OUTSTANDING,COMPANY
[12] FREE,INCOME
[12] COURT,RULING
[12] SIGNED,CONTRACT
[12] INCREASE,AUTHORIZED
[12] FORD,CANADA
[12] TOO,EARLY
[12] SIGNED,DEFINITIVE
[12] SERIES,PREFERRED
[11] OFFICER,COMPANY
[11] DEBENTURES,CONVERTIBLE
[11] SHARP,FALL
[11] STORE,BASIS
[11] REFORM,ACT
[11] CAR,OUTPUT
[11] TONNES,EXPORTS
[11] EXPORT,MARKETS
[11] AGRICULTURE,MINISTER
[11] AD,HOC
[11] FORMER,CHAIRMAN
[11] AS,BRAZIL
[11] COMBINED,UNDERWRITING
[11] CANADIAN,BBL
[11] DEFICIENCY,PAYMENT
[11] MARKET,DEALERS
[11] SEEK,CONTROL
[11] GULF,WAR
[11] ISSUES,STG
[11] VOTING,POWER
[11] PIERCE,FENNER
[11] TRIPLE,WITCHING
[11] MALCOLM,BALDRIGE
[11] OPERATIONS,GAIN
[11] APPLE,COMPUTER
[11] DUDLEY,TAFT
[11] SHELL,CANADA
[11] MARKETING,LOAN
[11] CALLABLE,RATED
[11] AS,PREVIOUSLY
[11] ROLLS,ROYCE
[11] ELECTRONIC,MAIL
[11] LLOYDS,PLC
[11] EXPRESSED,CONCERN
[11] OFFERINGS,FILED
[11] BANKERS,SAY
[11] FENNER,SMITH
[11] SEVERAL,WEEKS
[11] REGISTRATION,COVERING
[11] LYNCH,PIERCE
[11] CATTLE,SLAUGHTER
[11] EASTMAN,KODAK
[11] COUNCIL,ECONOMIC
[11] IRAN,CONTRA
[11] PRODUCT,GROWTH
[11] FEES,SELLING
[11] PREFERRED,SERIES
[11] OCCIDENTAL,PETROLEUM
[11] AMERICAN,AIRLINES
[11] OPEC,MEETING
[11] CORPORATION,CCC
[11] AS,EARLY
[11] SENATE,BANKING
[11] NATIONAL,STRIKE
[11] MOTOR,F
[11] BOND,FUTURES
[11] REGULAR,QUARTERLY
[11] HERALD,FREE
[11] FE,SOUTHERN
[11] SEC,FOLLOWING
[11] BARRELS,BARRELS
[11] DISCOUNT,HOUSES
[11] COMPANY,OPTION
[11] OFFERINGS,RECENTLY
[11] COMPANY,SOLD
[11] JAPAN,WEST
[11] NATIONAL,FUEL
[11] REGULATORY,APPROVALS
[11] GIVEN,STG
[11] TALKING,POINT
[11] EXCHEQUER,NIGEL
[11] UNITS,AGO
[11] RESTATED,REFLECT
[11] INDUSTRIES,OPER
[11] AS,COMPARED
[11] FOLLOWING,PROPOSED
[11] ALREADY,OWNS
[11] FILED,RECENTLY
[11] LUFKIN,JENRETTE
[11] PAYS,PAYMENT
[11] EUROPEAN,MONETARY
[11] SELLING,UNDERWRITING
[11] AROUND,BARREL
[11] PORK,CONGRESS
[11] CANADIAN,GOVERNMENT
[11] DECLINES,COMMENT
[11] INCLUDES,GAINS
[11] ENVIRONMENTAL,PROTECTION
[11] MILES,DATE
[11] SRI,LANKA
[11] BPD,QUOTA
[11] PRE,SPLIT
[11] FELL,SEASONALLY
[11] WHEAT,FLOUR
[11] TONNES,PREVIOUS
[11] AS,LOW
[11] LISTED,LONDON
[11] MARLIN,FITZWATER
[11] RECENTLY,COMMISSION
[11] DEALERS,NOTED
[11] MOC,ORDERS
[11] FREE,ENTERPRISE
[11] AMERI,CABLE
[11] EXTRAORDINARY,ITEMS
[11] INDEX,BASE
[11] NOTES,PRICED
[11] NUCLEAR,POWER
[11] GAINS,RESPECTIVELY
[11] EMBASSY,REPORT
[11] REFLECT,SPLIT
[11] NATIONAL,SAVINGS
[11] TREASURY,BOND
[11] MINISTER,YASUHIRO
[11] CHAIRMAN,DAN
[11] TOTALED,COMPARED
[11] SPOT,MARKET
[11] DATE,CAR
[11] WESTERN,EUROPE
[11] CONVERTIBLE,COMPANY
[11] AIRBUS,INDUSTRIE
[11] CHANCELLOR,EXCHEQUER
[11] REGULATORY,COMMISSION
[11] CONTRACTS,TRADED
[11] FISCAL,ENDED
[11] COSTA,RICA
[11] LOW,AS
[11] FILED,SEC
[11] EXPORTS,AS
[11] CORPORATE,BONDS
[11] FELL,MARKS
[11] BROWN,SONS
[11] DUFF,PHELPS
[11] EUROPEAN,COUNTRIES
[11] POLITICAL,ANALYSTS
[11] COMPANY,AS
[11] DECLARED,DIVIDEND
[11] OPEN,MARKETS
[11] DRUG,COMPANIES
[11] TASK,FORCE
[11] AS,WHOLE
[11] AVERAGE,YIELD
[11] CHIEF,ECONOMIST
[11] MEETING,COMPANY
[11] SYSTEMS,DIVISION
[11] TONS,TONS
[11] SYSTEM,AS
[11] COMPLETED,PREVIOUSLY
[11] TEMPORARY,RESERVES
[11] YASUHIRO,NAKASONE
[11] BRITISH,TELECOM
[11] WORKERS,UNION
[11] RANGE,NUCLEAR
[11] USED,CORPORATE
[11] FAIRCHILD,INDUSTRIES
[11] COMBINED,COMPANY
[11] RAISING,VIA
[11] NIGEL,LAWSON
[10] SAN,DIEGO
[10] FED,JOHNSON
[10] DEFENSE,SECRETARY
[10] HELP,ENGLAND
[10] GOVERNMENT,BUDGET
[10] ELECTRIC,GE
[10] ADD,TEMPORARY
[10] CONCESSION,COMBINED
[10] TEXAS,INSTRUMENTS
[10] COFFEE,INSTITUTE
[10] DEFENSE,DEPARTMENT
[10] SELLING,DAYS
[10] POSITION,AS
[10] COUNCIL,MEETING
[10] SEMICONDUCTOR,INDUSTRY
